video,total_frames,detected,fallback,detected_pct,fallback_pct
person24_running_d3,140,132,8,94.3,5.7
person24_running_d4,160,110,50,68.8,31.2
person24_walking_d1,280,247,33,88.2,11.8
person24_walking_d2,660,571,89,86.5,13.5
person24_walking_d3,300,256,44,85.3,14.7
person24_walking_d4,320,300,20,93.8,6.2
person25_boxing_d1,360,357,3,99.2,0.8
person25_boxing_d2,420,420,0,100.0,0.0
person25_boxing_d3,440,440,0,100.0,0.0
person25_boxing_d4,440,440,0,100.0,0.0
person25_handclapping_d1,380,380,0,100.0,0.0
person25_handclapping_d2,460,460,0,100.0,0.0
person25_handclapping_d3,400,398,2,99.5,0.5
person25_handclapping_d4,460,460,0,100.0,0.0
person25_handwaving_d1,460,460,0,100.0,0.0
person25_handwaving_d2,440,440,0,100.0,0.0
person25_handwaving_d3,480,480,0,100.0,0.0
person25_handwaving_d4,440,440,0,100.0,0.0
person25_jogging_d1,160,103,57,64.4,35.6
person25_jogging_d2,320,262,58,81.9,18.1
person25_jogging_d3,200,156,44,78.0,22.0
person25_jogging_d4,240,222,18,92.5,7.5
person25_running_d1,140,75,65,53.6,46.4
person25_running_d2,240,180,60,75.0,25.0
person25_running_d3,160,142,18,88.8,11.2
person25_running_d4,160,122,38,76.2,23.8
person25_walking_d1,360,322,38,89.4,10.6
person25_walking_d2,620,552,68,89.0,11.0
person25_walking_d3,400,358,42,89.5,10.5
person25_walking_d4,400,365,35,91.2,8.8
